workers,tasks,time,run
3,100,4.554228,1
3,100,4.743342,2
3,100,4.745010,3
3,100,4.639298,4
3,100,4.480111,5
3,100,4.670311,6
3,100,4.528239,7
3,100,4.180208,8
3,100,4.838297,9
3,100,4.833352,10
4,100,3.514676,1
4,100,3.834348,2
4,100,3.863799,3
4,100,3.963558,4
4,100,3.539298,5
4,100,3.655014,6
4,100,3.885225,7
4,100,3.632857,8
4,100,3.338141,9
4,100,3.759550,10
5,100,3.221790,1
5,100,3.042759,2
5,100,3.022428,3
5,100,3.027384,4
5,100,2.964975,5
5,100,3.295426,6
5,100,3.147473,7
5,100,3.156326,8
5,100,3.340806,9
5,100,3.483844,10
6,100,2.832937,1
6,100,2.751108,2
6,100,2.951455,3
6,100,3.057287,4
6,100,2.822682,5
6,100,3.039239,6
6,100,2.725300,7
6,100,3.022999,8
6,100,2.930868,9
6,100,2.871548,10
7,100,2.840651,1
7,100,2.791818,2
7,100,2.848120,3
7,100,2.753527,4
7,100,2.762558,5
7,100,2.669928,6
7,100,2.703291,7
7,100,2.858215,8
7,100,2.842054,9
7,100,2.860988,10
8,100,2.548858,1
8,100,2.593669,2
8,100,2.645473,3
8,100,2.618206,4
8,100,2.544209,5
8,100,2.415256,6
8,100,2.700768,7
8,100,2.567455,8
8,100,2.791235,9
8,100,2.597487,10
9,100,2.366552,1
9,100,2.462142,2
9,100,2.519325,3
9,100,2.220183,4
9,100,2.281388,5
9,100,2.411923,6
9,100,2.246610,7
9,100,2.420659,8
9,100,2.485123,9
9,100,2.391545,10
10,100,2.306202,1
10,100,2.576681,2
10,100,2.371366,3
10,100,2.349941,4
10,100,2.070780,5
10,100,2.300694,6
10,100,2.060844,7
10,100,2.259284,8
10,100,2.343244,9
10,100,2.103338,10
11,100,2.314594,1
11,100,2.378832,2
11,100,2.205420,3
11,100,2.302411,4
11,100,2.150614,5
11,100,2.238907,6
11,100,2.113230,7
11,100,2.219419,8
11,100,2.222386,9
11,100,2.218470,10
12,100,2.207531,1
12,100,2.234877,2
12,100,2.311220,3
12,100,2.050973,4
12,100,2.261426,5
12,100,2.088729,6
12,100,2.223638,7
12,100,1.911737,8
12,100,2.207049,9
12,100,1.997427,10
13,100,1.883075,1
13,100,2.120729,2
13,100,2.228250,3
13,100,2.065531,4
13,100,2.231194,5
13,100,2.039116,6
13,100,1.777420,7
13,100,1.924993,8
13,100,2.110701,9
13,100,2.104129,10
14,100,2.052285,1
14,100,2.303572,2
14,100,1.694109,3
14,100,2.025528,4
14,100,1.971404,5
14,100,2.080319,6
14,100,1.920412,7
14,100,1.752501,8
14,100,2.061234,9
14,100,1.995243,10
15,100,1.908074,1
15,100,2.073676,2
15,100,1.942370,3
