cpus,res,time,run
1,64,0.0301731,1
1,64,0.041004,2
1,64,0.0404147,3
1,64,0.0404302,4
1,64,0.0404482,5
1,64,0.0407324,6
1,64,0.0396359,7
1,64,0.0398186,8
1,64,0.0399982,9
1,64,0.040778,10
1,128,0.228509,1
1,128,0.22834,2
1,128,0.226752,3
1,128,0.228325,4
1,128,0.228338,5
1,128,0.228629,6
1,128,0.229292,7
1,128,0.227802,8
1,128,0.22842,9
1,128,0.228213,10
1,256,1.40963,1
1,256,1.26013,2
1,256,1.06657,3
1,256,1.15286,4
1,256,1.13147,5
1,256,1.09942,6
1,256,0.955358,7
1,256,1.15047,8
1,256,1.13329,9
1,256,1.11919,10
1,512,6.95455,1
1,512,6.73219,2
1,512,6.90378,3
1,512,6.73172,4
1,512,6.72109,5
1,512,6.82944,6
1,512,6.73433,7
1,512,6.69615,8
1,512,6.7289,9
1,512,6.7421,10
1,1024,66.1264,1
1,1024,66.3109,2
1,1024,67.0443,3
1,1024,66.4769,4
1,1024,66.5841,5
1,1024,66.4158,6
1,1024,66.0814,7
1,1024,65.9207,8
1,1024,66.3642,9
1,1024,66.5521,10
2,64,0.0216813,1
2,64,0.0212633,2
2,64,0.023826,3
2,64,0.0229445,4
2,64,0.023468,5
2,64,0.0238961,6
2,64,0.0235485,7
2,64,0.0239315,8
2,64,0.0236753,9
2,64,0.0238933,10
2,128,0.121389,1
2,128,0.121907,2
2,128,0.112769,3
2,128,0.110352,4
2,128,0.110056,5
2,128,0.119467,6
2,128,0.121805,7
2,128,0.120477,8
2,128,0.119643,9
2,128,0.121122,10
2,256,0.795029,1
2,256,0.74952,2
2,256,0.805201,3
2,256,0.810742,4
2,256,0.787401,5
2,256,0.749163,6
2,256,0.805693,7
2,256,0.807085,8
2,256,0.800168,9
2,256,0.75129,10
2,512,3.63517,1
2,512,3.32495,2
2,512,3.35072,3
2,512,3.26739,4
2,512,3.26703,5
2,512,3.3453,6
2,512,3.27434,7
2,512,3.27398,8
2,512,3.44634,9
2,512,3.34357,10
2,1024,41.1845,1
2,1024,41.0885,2
2,1024,41.236,3
2,1024,41.2276,4
2,1024,41.1218,5
2,1024,41.3257,6
2,1024,41.0079,7
2,1024,41.4774,8
2,1024,41.3175,9
2,1024,41.1076,10
4,64,0.018834,1
4,64,0.0181778,2
4,64,0.0201271,3
4,64,0.021228,4
4,64,0.0216291,5
4,64,0.0183742,6
4,64,0.020519,7
4,64,0.0220757,8
4,64,0.0205762,9
4,64,0.0194098,10
4,128,0.0618701,1
4,128,0.0718207,2
4,128,0.0732987,3
4,128,0.0723132,4
4,128,0.0769555,5
4,128,0.0696422,6
4,128,0.0775021,7
4,128,0.0721518,8
4,128,0.0781662,9
4,128,0.0733718,10
4,256,0.417891,1
4,256,0.425197,2
4,256,0.424348,3
4,256,0.415455,4
4,256,0.427006,5
4,256,0.418321,6
4,256,0.438866,7
4,256,0.427902,8
