cpus,res,time,run
1,64,0.0497422,1
1,64,0.0686142,2
1,64,0.0480199,3
1,64,0.048394,4
1,64,0.0532906,5
1,64,0.0550093,6
1,64,0.0479535,7
1,64,0.0554929,8
1,64,0.0535988,9
1,64,0.0488453,10
1,64,0.0483993,11
1,64,0.0479936,12
1,64,0.0484142,13
1,64,0.0485449,14
1,64,0.0482314,15
1,64,0.0488122,16
1,64,0.0486501,17
1,64,0.0487311,18
1,64,0.048781,19
1,64,0.048308,20
2,64,0.0530362,1
2,64,0.0500117,2
2,64,0.0508753,3
2,64,0.050162,4
2,64,0.0510793,5
2,64,0.0498562,6
2,64,0.0508807,7
2,64,0.05076,8
2,64,0.0504555,9
2,64,0.0494688,10
2,64,0.0513929,11
2,64,0.048996,12
2,64,0.0512113,13
2,64,0.0510262,14
2,64,0.0513612,15
2,64,0.0501124,16
2,64,0.0505468,17
2,64,0.0495187,18
2,64,0.0502637,19
2,64,0.0505014,20
4,64,0.0468167,1
4,64,0.0480649,2
4,64,0.0459859,3
4,64,0.0472711,4
4,64,0.0456811,5
4,64,0.0458411,6
4,64,0.0471225,7
4,64,0.0463036,8
4,64,0.046584,9
4,64,0.0452736,10
4,64,0.0461141,11
4,64,0.0449732,12
4,64,0.0450472,13
4,64,0.0448385,14
4,64,0.0448898,15
4,64,0.0429866,16
4,64,0.0444593,17
4,64,0.0435055,18
4,64,0.0453229,19
4,64,0.0432407,20
8,64,0.0486576,1
8,64,0.0475496,2
8,64,0.0484721,3
8,64,0.0459855,4
8,64,0.0458947,5
8,64,0.0447197,6
8,64,0.0445502,7
8,64,0.0438071,8
8,64,0.0461447,9
8,64,0.0430718,10
8,64,0.0446466,11
8,64,0.0441002,12
8,64,0.0427084,13
8,64,0.0423612,14
8,64,0.0426872,15
8,64,0.0415152,16
8,64,0.0400451,17
8,64,0.0423153,18
8,64,0.0414158,19
8,64,0.0425088,20
16,64,0.0581461,1
16,64,0.057358,2
16,64,0.0589295,3
16,64,0.055492,4
16,64,0.0593354,5
16,64,0.0601811,6
16,64,0.0590977,7
16,64,0.0539248,8
16,64,0.0543887,9
16,64,0.0558486,10
16,64,0.0543203,11
16,64,0.0597559,12
16,64,0.0583986,13
16,64,0.0547787,14
16,64,0.0595752,15
16,64,0.0573549,16
16,64,0.0590219,17
16,64,0.0579376,18
16,64,0.0573947,19
16,64,0.0579229,20
1,128,0.189292,1
1,128,0.187852,2
1,128,0.297472,3
1,128,0.217553,4
1,128,0.204698,5
1,128,0.192275,6
1,128,0.188047,7
1,128,0.187236,8
1,128,0.183181,9
1,128,0.172582,10
1,128,0.308629,11
1,128,0.2702,12
1,128,0.336316,13
1,128,0.343107,14
1,128,0.319739,15
1,128,0.340233,16
1,128,0.457409,17
1,128,0.329274,18
1,128,0.282366,19
1,128,0.235896,20
2,128,0.158179,1
2,128,0.156356,2
2,128,0.156098,3
2,128,0.155648,4
2,128,0.15578,5
2,128,0.154749,6
2,128,0.155459,7
2,128,0.156031,8
2,128,0.154724,9
2,128,0.156464,10
2,128,0.154245,11
2,128,0.157793,12
2,128,0.154659,13
2,128,0.148219,14
2,128,0.136881,15
2,128,0.125714,16
2,128,0.123887,17
2,128,0.123514,18
2,128,0.15258,19
2,128,0.124912,20
4,128,0.116126,1
4,128,0.117537,2
4,128,0.117927,3
4,128,0.12912,4
4,128,0.129974,5
4,128,0.124449,6
4,128,0.121637,7
4,128,0.110948,8
4,128,0.114432,9
4,128,0.121722,10
4,128,0.122037,11
4,128,0.123603,12
4,128,0.122352,13
4,128,0.12335,14
4,128,0.123396,15
4,128,0.123975,16
4,128,0.115873,17
4,128,0.123176,18
4,128,0.123303,19
4,128,0.128304,20
8,128,0.100514,1
8,128,0.100421,2
8,128,0.0988477,3
8,128,0.0984883,4
8,128,0.0987195,5
8,128,0.0996539,6
8,128,0.103287,7
8,128,0.0970287,8
8,128,0.0989382,9
8,128,0.102972,10
8,128,0.0876603,11
8,128,0.0839825,12
8,128,0.0994791,13
8,128,0.101911,14
8,128,0.0978835,15
8,128,0.109949,16
8,128,0.101127,17
8,128,0.103405,18
8,128,0.0991491,19
8,128,0.106329,20
16,128,0.12473,1
16,128,0.117577,2
16,128,0.13404,3
16,128,0.135706,4
16,128,0.210703,5
16,128,0.116969,6
16,128,0.110563,7
16,128,0.127573,8
16,128,0.091886,9
16,128,0.128554,10
16,128,0.148763,11
16,128,0.126508,12
16,128,0.116112,13
16,128,0.131688,14
16,128,0.196557,15
16,128,0.123705,16
16,128,0.124127,17
16,128,0.117809,18
16,128,0.121761,19
16,128,0.125466,20
1,256,1.17614,1
1,256,1.14329,2
1,256,1.67764,3
1,256,1.68842,4
1,256,1.28003,5
1,256,1.21169,6
1,256,1.2219,7
1,256,1.58183,8
1,256,1.67753,9
1,256,2.06517,10
1,256,1.25111,11
1,256,1.24103,12
1,256,1.18535,13
1,256,1.1466,14
1,256,1.14724,15
1,256,2.12323,16
1,256,1.68203,17
1,256,1.29398,18
1,256,1.17162,19
1,256,2.00974,20
2,256,0.932819,1
2,256,0.927845,2
2,256,0.772963,3
2,256,0.668716,4
2,256,0.653439,5
2,256,0.653342,6
2,256,0.662506,7
2,256,0.656208,8
2,256,0.657915,9
2,256,0.660017,10
2,256,0.657297,11
2,256,0.655292,12
2,256,0.965135,13
2,256,0.919695,14
2,256,0.84678,15
2,256,0.662814,16
2,256,0.665891,17
2,256,0.654132,18
2,256,0.665187,19
2,256,0.656502,20
4,256,0.458077,1
4,256,0.458058,2
4,256,0.462809,3
4,256,0.450257,4
4,256,0.454889,5
4,256,0.464737,6
4,256,0.499678,7
4,256,0.500868,8
4,256,0.504536,9
4,256,0.525551,10
4,256,0.456765,11
4,256,0.448535,12
4,256,0.445656,13
4,256,0.448023,14
4,256,0.517797,15
4,256,0.442645,16
4,256,0.462406,17
4,256,0.425449,18
4,256,0.387107,19
4,256,0.390645,20
8,256,0.350057,1
8,256,0.296725,2
8,256,0.309558,3
8,256,0.299605,4
8,256,0.318134,5
8,256,0.292037,6
8,256,0.295796,7
8,256,0.305809,8
8,256,0.323099,9
8,256,0.3085,10
8,256,0.298326,11
8,256,0.305228,12
8,256,0.277176,13
8,256,0.292716,14
8,256,0.351369,15
8,256,0.300006,16
8,256,0.281967,17
8,256,0.284858,18
8,256,0.277389,19
8,256,0.265816,20
16,256,0.220732,1
16,256,0.242174,2
16,256,0.241243,3
16,256,0.279182,4
16,256,0.234019,5
16,256,0.249855,6
16,256,0.270408,7
16,256,0.260215,8
16,256,0.248848,9
16,256,0.229395,10
16,256,0.257053,11
16,256,0.218491,12
16,256,0.222689,13
16,256,0.227773,14
16,256,0.213424,15
16,256,0.234613,16
16,256,0.204249,17
16,256,0.217491,18
16,256,0.224891,19
16,256,0.216358,20
1,512,8.34134,1
1,512,8.3198,2
1,512,8.52507,3
1,512,9.02264,4
1,512,10.2351,5
1,512,9.62225,6
1,512,9.0286,7
1,512,9.03164,8
1,512,9.03821,9
1,512,10.2228,10
1,512,9.93873,11
1,512,9.01567,12
1,512,9.0287,13
1,512,9.05692,14
1,512,9.03741,15
1,512,9.03193,16
1,512,9.04077,17
1,512,9.04456,18
1,512,11.5465,19
1,512,9.62098,20
2,512,6.08275,1
2,512,5.33256,2
2,512,4.60662,3
2,512,4.6019,4
2,512,4.59782,5
2,512,4.61654,6
2,512,4.60387,7
2,512,4.60803,8
2,512,4.6038,9
2,512,4.60586,10
2,512,4.61208,11
2,512,4.626,12
2,512,4.6016,13
2,512,4.59577,14
2,512,4.60559,15
2,512,4.61235,16
2,512,4.61126,17
2,512,4.84395,18
2,512,4.61931,19
2,512,4.60009,20
4,512,2.95103,1
4,512,2.90932,2
4,512,2.3987,3
4,512,2.39818,4
4,512,2.502,5
4,512,2.832,6
4,512,2.8143,7
4,512,2.39298,8
4,512,2.38352,9
4,512,2.41114,10
4,512,2.99478,11
4,512,2.98993,12
4,512,2.38209,13
4,512,2.91702,14
4,512,2.66736,15
4,512,2.73745,16
4,512,2.7966,17
4,512,2.38794,18
4,512,2.39564,19
4,512,2.81426,20
8,512,1.62096,1
8,512,1.56177,2
8,512,1.5877,3
8,512,1.87747,4
8,512,1.57671,5
8,512,1.57988,6
8,512,1.61094,7
8,512,1.59711,8
8,512,1.61932,9
8,512,1.60021,10
8,512,1.59778,11
8,512,1.57636,12
8,512,1.58057,13
8,512,1.44864,14
8,512,1.58895,15
8,512,1.61247,16
8,512,1.58525,17
8,512,1.60079,18
8,512,1.60481,19
8,512,1.59475,20
16,512,1.25594,1
16,512,1.18884,2
16,512,1.03348,3
16,512,1.03643,4
16,512,1.11884,5
16,512,1.04613,6
16,512,1.10787,7
16,512,1.04181,8
16,512,1.02733,9
16,512,1.07182,10
16,512,1.05492,11
16,512,1.03341,12
16,512,1.06489,13
16,512,1.06643,14
16,512,1.05029,15
16,512,1.01538,16
16,512,1.07605,17
16,512,1.02842,18
16,512,1.05074,19
16,512,1.05365,20
1,1024,93.1178,1
1,1024,91.3831,2
1,1024,86.1875,3
1,1024,95.0031,4
1,1024,94.2223,5
1,1024,90.4576,6
1,1024,97.8818,7
1,1024,89.2284,8
1,1024,88.4437,9
1,1024,85.345,10
1,1024,110.992,11
1,1024,93.1915,12
1,1024,85.5289,13
1,1024,91.7064,14
