cpus,res,base_res,time,run
1,64,64,0.0302494,1
1,64,64,0.0394542,2
1,64,64,0.0405303,3
1,64,64,0.0394119,4
1,64,64,0.0408374,5
1,64,64,0.0401668,6
1,64,64,0.0404885,7
1,64,64,0.0403028,8
1,64,64,0.0397148,9
1,64,64,0.0395427,10
4,128,64,0.0807779,1
4,128,64,0.0806923,2
4,128,64,0.0811805,3
4,128,64,0.076773,4
4,128,64,0.0755643,5
4,128,64,0.0804543,6
4,128,64,0.0801934,7
4,128,64,0.0803562,8
4,128,64,0.0798491,9
4,128,64,0.0813243,10
16,256,64,0.147279,1
16,256,64,0.144138,2
16,256,64,0.14406,3
16,256,64,0.144405,4
16,256,64,0.141303,5
16,256,64,0.147244,6
16,256,64,0.144367,7
16,256,64,0.150195,8
16,256,64,0.147425,9
16,256,64,0.139169,10
64,512,64,0.285624,1
64,512,64,0.308416,2
64,512,64,10.2175,3
64,512,64,0.303044,4
64,512,64,0.281468,5
64,512,64,0.402587,6
64,512,64,0.498395,7
64,512,64,21.0352,8
64,512,64,14.5259,9
64,512,64,26.0697,10
1,128,128,0.170087,1
1,128,128,0.226734,2
1,128,128,0.168824,3
1,128,128,0.2236,4
1,128,128,0.224885,5
1,128,128,0.225219,6
1,128,128,0.222895,7
1,128,128,0.224571,8
1,128,128,0.22405,9
1,128,128,0.225136,10
4,256,128,0.431595,1
4,256,128,0.435369,2
4,256,128,0.437758,3
4,256,128,0.424232,4
4,256,128,0.438872,5
4,256,128,0.42161,6
4,256,128,0.435286,7
4,256,128,0.434919,8
4,256,128,0.435615,9
4,256,128,0.443132,10
16,512,128,0.901038,1
16,512,128,0.890861,2
16,512,128,0.881498,3
16,512,128,0.886838,4
16,512,128,0.864778,5
16,512,128,0.890844,6
16,512,128,0.882034,7
16,512,128,0.898971,8
16,512,128,0.857953,9
16,512,128,0.890037,10
64,1024,128,5.9832,1
64,1024,128,160.444,2
64,1024,128,1.50145,3
64,1024,128,27.7474,4
64,1024,128,1.48905,5
64,1024,128,1.7019,6
64,1024,128,1.78226,7
64,1024,128,1.49068,8
64,1024,128,1.56089,9
64,1024,128,1.53064,10
1,256,256,1.14491,1
1,256,256,1.31032,2
1,256,256,1.2116,3
1,256,256,1.01294,4
1,256,256,1.07053,5
1,256,256,1.05946,6
1,256,256,1.08464,7
1,256,256,1.06166,8
1,256,256,1.05524,9
1,256,256,1.00441,10
4,512,256,2.45951,1
4,512,256,2.61625,2
4,512,256,2.48286,3
4,512,256,2.4139,4
4,512,256,2.48349,5
4,512,256,2.58059,6
4,512,256,2.60627,7
4,512,256,2.40445,8
4,512,256,2.40681,9
4,512,256,2.61738,10
16,1024,256,5.04195,1
16,1024,256,4.43841,2
16,1024,256,4.41934,3
16,1024,256,4.69661,4
16,1024,256,4.57529,5
16,1024,256,4.33789,6
16,1024,256,4.3733,7
16,1024,256,4.37552,8
16,1024,256,4.58513,9
16,1024,256,4.62742,10
64,2048,256,38.2693,1
64,2048,256,19.7838,2
64,2048,256,19.832,3
64,2048,256,19.8811,4
64,2048,256,19.8691,5
64,2048,256,59.9762,6
64,2048,256,96.5968,7
64,2048,256,42.2759,8
64,2048,256,117.617,9
64,2048,256,112.611,10
