cpus,res,base_res,time,run
1,64,64,0.0477722,1
1,64,64,0.0494843,2
1,64,64,0.0497894,3
1,64,64,0.0634791,4
1,64,64,0.0488843,5
1,64,64,0.0490103,6
1,64,64,0.0499431,7
1,64,64,0.0493209,8
1,64,64,0.0490869,9
1,64,64,0.0478435,10
1,64,64,0.0503742,11
1,64,64,0.0497072,12
1,64,64,0.0504091,13
1,64,64,0.0499724,14
1,64,64,0.0472295,15
1,64,64,0.0487377,16
1,64,64,0.0488022,17
1,64,64,0.0483412,18
1,64,64,0.0489236,19
1,64,64,0.0471567,20
4,128,64,0.161292,1
4,128,64,0.183873,2
4,128,64,1.3999,3
4,128,64,0.239539,4
4,128,64,0.488064,5
4,128,64,1.10483,6
4,128,64,1.54685,7
4,128,64,1.17055,8
4,128,64,0.293861,9
4,128,64,0.176673,10
4,128,64,0.531025,11
4,128,64,0.764393,12
4,128,64,0.183663,13
4,128,64,1.64861,14
4,128,64,0.156175,15
4,128,64,0.164396,16
4,128,64,0.171463,17
4,128,64,1.95073,18
4,128,64,0.172642,19
4,128,64,0.178844,20
16,256,64,2.50489,1
16,256,64,7.60724,2
16,256,64,0.350609,3
16,256,64,0.431406,4
16,256,64,0.974208,5
16,256,64,0.436147,6
16,256,64,0.714186,7
16,256,64,1.08269,8
16,256,64,1.04672,9
16,256,64,0.446984,10
16,256,64,0.65446,11
16,256,64,0.357566,12
16,256,64,0.734171,13
16,256,64,2.00484,14
16,256,64,1.79118,15
16,256,64,0.703759,16
16,256,64,2.42564,17
16,256,64,0.632959,18
16,256,64,0.472074,19
16,256,64,1.66092,20
64,512,64,2.72674,1
64,512,64,71.8975,2
64,512,64,12.8429,3
64,512,64,101.134,4
64,512,64,15.5322,5
64,512,64,71.7873,6
64,512,64,5.13962,7
64,512,64,3.0963,8
64,512,64,44.4877,9
64,512,64,4.70248,10
64,512,64,118.51,11
64,512,64,11.7741,12
64,512,64,8.04709,13
64,512,64,3.76689,14
64,512,64,81.1225,15
64,512,64,6.60575,16
64,512,64,4.48958,17
64,512,64,117.393,18
64,512,64,49.0316,19
64,512,64,21.6203,20
1,128,128,0.1715,1
1,128,128,0.175115,2
1,128,128,0.172826,3
1,128,128,0.17352,4
1,128,128,0.172224,5
1,128,128,0.168536,6
1,128,128,0.173209,7
1,128,128,0.171976,8
1,128,128,0.173029,9
1,128,128,0.17252,10
1,128,128,0.1681,11
1,128,128,0.172248,12
1,128,128,0.168538,13
1,128,128,0.172872,14
1,128,128,0.248284,15
1,128,128,0.246894,16
1,128,128,0.246054,17
1,128,128,0.246728,18
1,128,128,0.241986,19
1,128,128,0.210234,20
4,256,128,2.10775,1
4,256,128,1.10606,2
4,256,128,1.11065,3
4,256,128,1.03282,4
4,256,128,0.964942,5
4,256,128,0.734502,6
4,256,128,1.22813,7
4,256,128,1.00949,8
4,256,128,1.75946,9
4,256,128,1.01154,10
4,256,128,0.886292,11
4,256,128,1.40849,12
4,256,128,1.15954,13
4,256,128,1.08485,14
4,256,128,3.14027,15
4,256,128,2.75408,16
4,256,128,1.20531,17
4,256,128,0.701112,18
4,256,128,0.974632,19
4,256,128,0.886929,20
16,512,128,2.91594,1
16,512,128,1.88483,2
16,512,128,1.67236,3
16,512,128,2.37907,4
16,512,128,2.86596,5
16,512,128,2.61891,6
16,512,128,3.48014,7
16,512,128,1.66464,8
16,512,128,2.40728,9
16,512,128,1.28845,10
16,512,128,4.06654,11
16,512,128,5.07317,12
16,512,128,3.66534,13
16,512,128,3.27443,14
16,512,128,2.71106,15
16,512,128,5.0138,16
16,512,128,2.30793,17
16,512,128,2.5142,18
16,512,128,2.48732,19
16,512,128,2.88868,20
64,1024,128,7.11982,1
64,1024,128,4.69393,2
64,1024,128,77.4338,3
64,1024,128,5.4489,4
64,1024,128,89.0029,5
64,1024,128,13.0978,6
64,1024,128,159.159,7
64,1024,128,88.6672,8
64,1024,128,5.28858,9
64,1024,128,292.907,10
64,1024,128,7.05157,11
64,1024,128,29.5209,12
64,1024,128,6.98211,13
64,1024,128,10.7819,14
64,1024,128,13.7382,15
64,1024,128,6.25085,16
64,1024,128,13.6112,17
64,1024,128,9.21315,18
64,1024,128,168.779,19
64,1024,128,5.84361,20
1,256,256,1.11103,1
1,256,256,1.11103,2
1,256,256,1.11508,3
1,256,256,1.10713,4
1,256,256,1.11018,5
1,256,256,1.11037,6
1,256,256,1.10951,7
1,256,256,1.10642,8
1,256,256,1.11146,9
1,256,256,1.12133,10
1,256,256,1.10711,11
1,256,256,1.11208,12
1,256,256,1.11312,13
1,256,256,1.1126,14
1,256,256,1.12535,15
1,256,256,1.10684,16
1,256,256,1.11905,17
1,256,256,1.10822,18
1,256,256,1.1113,19
1,256,256,1.1117,20
4,512,256,4.05752,1
4,512,256,3.68614,2
4,512,256,4.1429,3
4,512,256,3.54429,4
4,512,256,4.60035,5
4,512,256,3.72778,6
4,512,256,4.92682,7
4,512,256,3.72608,8
4,512,256,3.70234,9
4,512,256,3.36584,10
4,512,256,6.26738,11
4,512,256,4.25754,12
4,512,256,3.36523,13
4,512,256,4.32232,14
4,512,256,4.37496,15
4,512,256,3.29645,16
4,512,256,4.47378,17
4,512,256,4.18733,18
4,512,256,4.47832,19
4,512,256,3.88519,20
16,1024,256,7.70125,1
16,1024,256,9.90137,2
16,1024,256,7.48388,3
16,1024,256,8.9357,4
16,1024,256,6.76296,5
16,1024,256,8.40036,6
16,1024,256,9.48061,7
16,1024,256,8.99267,8
16,1024,256,7.47914,9
16,1024,256,7.27319,10
16,1024,256,7.64589,11
16,1024,256,7.2857,12
16,1024,256,7.95158,13
16,1024,256,9.00078,14
16,1024,256,7.16664,15
16,1024,256,7.17448,16
16,1024,256,7.95772,17
16,1024,256,7.59846,18
16,1024,256,7.8009,19
16,1024,256,8.4305,20
64,2048,256,71.4205,1
64,2048,256,46.8764,2
64,2048,256,164.822,3
64,2048,256,125.551,4
64,2048,256,207.126,5
64,2048,256,128.447,6
64,2048,256,98.7599,7
64,2048,256,104.921,8
64,2048,256,85.287,9
64,2048,256,76.5122,10
64,2048,256,104.62,11
64,2048,256,63.7999,12
64,2048,256,225.711,13
64,2048,256,87.9614,14
64,2048,256,75.805,15
64,2048,256,98.6509,16
64,2048,256,137.426,17
64,2048,256,99.7092,18
64,2048,256,189.873,19
64,2048,256,26.7877,20
