x,y
7.697223,47.543327
7.769722,47.553329
7.906388,47.558052
7.91361,47.553886
7.918888,47.552773
7.931944,47.552216
8.033333,47.556107
8.086666,47.560555
8.092222,47.561661
8.099722,47.565552
8.102499,47.568329
8.103888,47.571938
8.108055,47.578331
8.110832,47.581108
8.185276,47.617218
8.193333,47.620827
8.198889,47.621666
8.205555,47.621666
8.240833,47.619438
8.283333,47.613052
8.288055,47.611664
8.2925,47.605827
8.390833,47.579994
8.435833,47.573608
8.464998,47.602493
8.477499,47.612221
8.51111,47.631104
8.519999,47.634163
8.531387,47.632774
8.558332,47.623329
8.562222,47.621384
8.565554,47.614441
8.56943,47.598537
8.57642,47.59137
8.591389,47.599442
8.594721,47.601662
8.629166,47.646111
8.630833,47.649719
8.629444,47.653328
8.626944,47.656105
8.620832,47.66111
8.610254,47.667732
8.580555,47.66861
8.551388,47.668327
8.545832,47.667496
8.536943,47.664444
8.528055,47.656944
8.525833,47.65361
8.518332,47.649719
8.495277,47.647217
8.475555,47.646942
8.424721,47.669441
8.413332,47.678329
8.407221,47.699715
8.406666,47.703888
8.473331,47.767494
8.47611,47.769997
8.479443,47.772499
8.559721,47.806389
8.566111,47.806938
8.60861,47.804161
8.614721,47.803604
8.661388,47.79805
8.685555,47.786659
8.734999,47.761383
8.736944,47.758049
8.736944,47.75444
8.734999,47.713882
8.734165,47.709717
8.730698,47.705673
8.729166,47.703888
8.720222,47.696625
8.745277,47.695
8.761389,47.692215
8.800133,47.681725
8.774721,47.710274
8.772778,47.713333
8.772221,47.717499
8.777777,47.722771
8.799999,47.735275
8.804165,47.737221
8.808887,47.735832
8.835278,47.718048
8.855833,47.698883
8.883299,47.654148
8.892776,47.651382
8.904999,47.650276
8.917776,47.650551
8.934166,47.653053
8.947777,47.657494
8.973331,47.667496
8.985554,47.672775
8.996666,47.679161
9.004999,47.682495
9.024166,47.687775
9.0425,47.688889
9.078333,47.685829
9.086943,47.684998
9.261095,47.662842
9.478322,47.575851
9.566724,47.540451
9.557772,47.505783
9.559721,47.499718
9.562222,47.496666
9.567499,47.491104
9.590277,47.470276
9.594166,47.46833
9.611666,47.468887
9.646944,47.460274
9.65111,47.458328
9.65361,47.455551
9.673332,47.398605
9.673054,47.394997
9.669998,47.387772
9.664999,47.381386
9.650555,47.373055
9.641666,47.369995
9.631388,47.36805
9.625832,47.367218
9.624422,47.367252
9.614443,47.367493
9.605276,47.359993
9.599722,47.354164
9.539999,47.284164
9.533569,47.274544
9.502222,47.231384
9.491388,47.215271
9.485832,47.200272
9.484165,47.192215
9.484444,47.179718
9.489721,47.16555
9.49861,47.15361
9.505554,47.139999
9.511389,47.121666
9.512777,47.109444
9.512499,47.100273
9.510277,47.092499
9.474637,47.057457
9.485277,47.061104
9.506388,47.06472
9.538055,47.07
9.544722,47.07
9.598635,47.063835
9.6325,47.056664
9.719444,47.050278
9.870277,47.023598
9.875555,47.022491
9.891943,47.003876
9.893055,47.000267
9.889444,46.993324
9.880833,46.98082
9.875555,46.970543
9.873333,46.962769
9.87361,46.958603
9.87611,46.941658
9.879444,46.939156
9.934999,46.912773
10.058887,46.866386
10.109444,46.850273
10.122776,46.849716
10.140276,46.851105
10.141807,46.851341
10.15111,46.852776
10.170555,46.857216
10.22361,46.874992
10.231388,46.878883
10.313332,46.933609
10.323332,46.955551
10.345833,46.986382
10.353611,46.994995
10.357222,46.997215
10.385555,47.002777
10.391109,47.003609
10.400833,47.001106
10.429998,46.984161
10.487499,46.937775
10.488913,46.934212
10.471235,46.871353
10.447498,46.763054
10.470833,46.635826
10.486387,46.619438
10.486666,46.615273
10.486111,46.594719
10.485277,46.590553
10.475555,46.562492
10.471109,46.551666
10.465277,46.546387
10.457531,46.542503
10.44972,46.539162
10.337221,46.549438
10.305555,46.553886
10.301666,46.555832
10.247499,46.583885
10.245554,46.587219
10.245277,46.59111
10.246944,46.599442
10.253054,46.613884
10.254166,46.61805
10.253611,46.622215
10.241665,46.636665
10.238609,46.638885
10.233332,46.639999
10.18111,46.632217
10.119165,46.611382
10.0525,46.543053
10.050278,46.539993
10.044722,46.507217
10.044167,46.498055
10.044443,46.453331
10.044998,46.449165
10.046665,46.445831
10.049166,46.443054
10.055555,46.438332
10.067221,46.432495
10.08861,46.424164
10.092777,46.423332
