x,y
-69.48361199999994,-17.635559
-69.37611400000003,-17.726947999999936
-69.35555999999997,-17.745556000000022
-69.33056599999998,-17.790278999999998
-69.32417299999992,-17.804726000000016
-69.32000700000003,-17.81444499999992
-69.31861900000001,-17.820003999999983
-69.31806899999998,-17.833056999999997
-69.32139599999994,-17.89194500000002
-69.315292,-17.926944999999932
-69.30889899999994,-17.948058999999944
-69.30334499999998,-17.963337000000024
-69.29888900000003,-17.973056999999926
-69.291672,-17.979724999999974
-69.28723100000002,-17.98250200000001
-69.13945000000001,-18.027499999999975
-69.127792,-18.030280999999945
-69.07493599999998,-18.03792199999998
-69.07167099999992,-18.03889099999992
-69.07167099999992,-18.059447999999975
-69.07472200000001,-18.07722499999994
-69.08056599999992,-18.08528100000001
-69.08416699999998,-18.088612000000012
-69.10583500000001,-18.102221999999983
-69.11584499999992,-18.106392000000028
-69.12028499999997,-18.10916899999995
-69.13278200000002,-18.117778999999928
-69.13639799999999,-18.121391000000017
-69.14279199999993,-18.12889100000001
-69.14805599999994,-18.137778999999966
-69.150284,-18.149170000000026
-69.14973399999997,-18.155555999999933
-69.14750699999996,-18.160278000000005
-69.13972499999994,-18.173336000000006
-69.13111900000001,-18.185836999999935
-69.116669,-18.199448000000018
-69.11222800000002,-18.202225
-69.09806799999996,-18.216113999999948
-69.09167500000001,-18.22361399999994
-69.08750900000001,-18.233334000000013
-69.08666999999997,-18.239444999999932
-69.085556,-18.285834999999963
-69.07556199999999,-18.38944600000002
-69.07389799999999,-18.394999999999925
-69.06916799999993,-18.403892999999982
-69.05972299999996,-18.415557999999976
-69.05612200000002,-18.418892000000028
-69.04112199999997,-18.438891999999953
-69.03834499999994,-18.44305799999995
-69.03334000000001,-18.451945999999964
-69.02694699999995,-18.466392999999982
-69.02417000000003,-18.477221999999983
-69.02278099999995,-18.48972299999997
-69.02555799999993,-18.507503999999983
-69.03250100000002,-18.560001
-69.02917500000001,-18.611388999999974
-69.02444499999996,-18.658611000000008
-69.00056499999994,-18.743056999999965
-68.95140099999998,-18.845837000000017
-68.93278499999997,-18.882777999999917
-68.96583599999991,-18.953055999999947
-68.90779099999997,-19.055278999999985
-68.90223699999996,-19.063334999999938
-68.89472999999992,-19.070277999999973
-68.78250099999997,-19.14194500000002
-68.74084499999992,-19.177779999999927
-68.66223099999996,-19.26083399999993
-68.654449,-19.273890999999992
-68.65084799999994,-19.277224999999987
-68.633621,-19.286944999999946
-68.608337,-19.297226000000023
-68.58528100000001,-19.302779999999927
-68.58000199999992,-19.304726000000016
-68.55555699999996,-19.31666899999999
-68.54695099999998,-19.32194499999997
-68.49694799999992,-19.36389200000002
-68.48638899999997,-19.37416799999994
-68.44750999999991,-19.412502000000018
-68.44084199999992,-19.42027999999999
-68.4375,-19.430278999999985
-68.4375,-19.437224999999955
-68.44111599999997,-19.440555999999958
-68.45195000000001,-19.443889999999953
-68.55139199999996,-19.539721999999927
-68.57255599999996,-19.566539999999918
-68.60195899999997,-19.60777999999999
-68.68362399999995,-19.698891000000003
-68.685562,-19.701389000000006
-68.689728,-19.707225999999935
-68.69972200000001,-19.73000300000001
-68.69944799999996,-19.736114999999984
-68.69694500000003,-19.740558999999962
-68.69277999999991,-19.74361399999998
-68.68223599999999,-19.747779999999977
-68.62611399999997,-19.785834999999963
-68.566956,-19.833888999999942
-68.523346,-19.916388999999924
-68.56777999999997,-20.042224999999974
